"","rhoSSB","Year","Scenario"
"810",NA,2009,15
"811",NA,2010,15
"812",NA,2011,15
"813",NA,2012,15
"814",NA,2013,15
"815",NA,2014,15
"816",NA,2015,15
"817",NA,2016,15
"818",NA,2017,15
"819",NA,2018,15
"820",NA,2019,15
"821",0.124974022119995,2020,15
"822",0.17863408085813,2021,15
"823",0.236159075138386,2022,15
"824",0.290203476695282,2023,15
"825",0.326039120720681,2024,15
"826",0.349996691731379,2025,15
"827",0.355954051135641,2026,15
"828",0.426745760067974,2027,15
"829",0.419930016565559,2028,15
"830",0.388577822679681,2029,15
"831",0.354445736172912,2030,15
"832",0.318642555176928,2031,15
"833",0.306068529210078,2032,15
"834",0.288618048781449,2033,15
"835",0.277433068779093,2034,15
"836",0.275197333916282,2035,15
"837",0.279029862879143,2036,15
"838",0.289922699910818,2037,15
"839",0.277549623023474,2038,15
"840",0.277191315963461,2039,15
"841",NA,1984,16
"842",NA,1985,16
"843",NA,1986,16
"844",NA,1987,16
"845",NA,1988,16
"846",NA,1989,16
"847",NA,1990,16
"848",NA,1991,16
"849",NA,1992,16
"850",NA,1993,16
"851",NA,1994,16
"852",NA,1995,16
"853",NA,1996,16
"854",NA,1997,16
"855",NA,1998,16
"856",NA,1999,16
"857",NA,2000,16
"858",NA,2001,16
"859",NA,2002,16
"860",NA,2003,16
"861",NA,2004,16
"862",NA,2005,16
"863",NA,2006,16
"864",NA,2007,16
"865",NA,2008,16
"866",NA,2009,16
"867",NA,2010,16
"868",NA,2011,16
"869",NA,2012,16
"870",NA,2013,16
"871",NA,2014,16
"872",NA,2015,16
"873",NA,2016,16
"874",NA,2017,16
"875",NA,2018,16
"876",NA,2019,16
"877",0.115382924019387,2020,16
"878",0.172442281328648,2021,16
"879",0.232810782887845,2022,16
"880",0.260492698063109,2023,16
"881",0.285956916803952,2024,16
"882",0.318748628822834,2025,16
"883",0.343753801818997,2026,16
"884",0.455828046486306,2027,16
"885",0.530370005982196,2028,16
"886",0.576586505661178,2029,16
"887",0.613451432835725,2030,16
"888",0.662311438608608,2031,16
"889",0.682027099204281,2032,16
"890",0.70873500323362,2033,16
"891",0.705023927220261,2034,16
"892",0.708722640988278,2035,16
"893",0.667526356068625,2036,16
"894",0.585535138090727,2037,16
"895",0.459094457573085,2038,16
"896",0.352335634370739,2039,16
"897",NA,1984,17
"898",NA,1985,17
"899",NA,1986,17
"900",NA,1987,17
"901",NA,1988,17
"902",NA,1989,17
"903",NA,1990,17
"904",NA,1991,17
"905",NA,1992,17
"906",NA,1993,17
"907",NA,1994,17
"908",NA,1995,17
"909",NA,1996,17
"910",NA,1997,17
"911",NA,1998,17
"912",NA,1999,17
"913",NA,2000,17
"914",NA,2001,17
"915",NA,2002,17
"916",NA,2003,17
"917",NA,2004,17
"918",NA,2005,17
"919",NA,2006,17
"920",NA,2007,17
"921",NA,2008,17
"922",NA,2009,17
"923",NA,2010,17
"924",NA,2011,17
"925",NA,2012,17
"926",NA,2013,17
"927",NA,2014,17
"928",NA,2015,17
"929",NA,2016,17
"930",NA,2017,17
"931",NA,2018,17
"932",NA,2019,17
"933",0.127120524410851,2020,17
"934",0.17400174738654,2021,17
"935",0.215521468621916,2022,17
"936",0.259153015228288,2023,17
"937",0.291145623715284,2024,17
"938",0.331800505890099,2025,17
"939",0.367937280747886,2026,17
"940",0.537061522590277,2027,17
"941",0.684709249869143,2028,17
"942",0.74108236907608,2029,17
"943",0.790481063938442,2030,17
"944",0.758099603756117,2031,17
"945",0.723757309920837,2032,17
"946",0.664818454983447,2033,17
"947",0.601908782332072,2034,17
"948",0.51740595921091,2035,17
"949",0.462738096240374,2036,17
"950",0.43694348132287,2037,17
"951",0.410023405452374,2038,17
"952",0.41654838046692,2039,17
"953",NA,1984,18
"954",NA,1985,18
"955",NA,1986,18
"956",NA,1987,18
"957",NA,1988,18
"958",NA,1989,18
"959",NA,1990,18
"960",NA,1991,18
"961",NA,1992,18
"962",NA,1993,18
"963",NA,1994,18
"964",NA,1995,18
"965",NA,1996,18
"966",NA,1997,18
"967",NA,1998,18
"968",NA,1999,18
"969",NA,2000,18
"970",NA,2001,18
"971",NA,2002,18
"972",NA,2003,18
"973",NA,2004,18
"974",NA,2005,18
"975",NA,2006,18
"976",NA,2007,18
"977",NA,2008,18
"978",NA,2009,18
"979",NA,2010,18
"980",NA,2011,18
"981",NA,2012,18
"982",NA,2013,18
"983",NA,2014,18
"984",NA,2015,18
"985",NA,2016,18
"986",NA,2017,18
"987",NA,2018,18
"988",NA,2019,18
"989",0.119744033449322,2020,18
"990",0.161873202254404,2021,18
"991",0.206532062596119,2022,18
"992",0.233717348638165,2023,18
"993",0.267733132951163,2024,18
"994",0.305851338341519,2025,18
"995",0.342573467394649,2026,18
"996",0.471429485037693,2027,18
"997",0.588673383876831,2028,18
"998",0.649223648795431,2029,18
"999",0.695358248385715,2030,18
"1000",0.678635237102082,2031,18
"1001",0.646505206073759,2032,18
"1002",0.588726173930923,2033,18
"1003",0.546838454077731,2034,18
"1004",0.490873858949026,2035,18
"1005",0.441199488442873,2036,18
"1006",0.415804392790651,2037,18
"1007",0.388996492471866,2038,18
"1008",0.391859672453666,2039,18
"1009",NA,1984,19
"1010",NA,1985,19
"1011",NA,1986,19
"1012",NA,1987,19
"1013",NA,1988,19
"1014",NA,1989,19
"1015",NA,1990,19
"1016",NA,1991,19
"1017",NA,1992,19
"1018",NA,1993,19
"1019",NA,1994,19
"1020",NA,1995,19
"1021",NA,1996,19
"1022",NA,1997,19
"1023",NA,1998,19
"1024",NA,1999,19
"1025",NA,2000,19
"1026",NA,2001,19
"1027",NA,2002,19
"1028",NA,2003,19
"1029",NA,2004,19
"1030",NA,2005,19
"1031",NA,2006,19
"1032",NA,2007,19
"1033",NA,2008,19
"1034",NA,2009,19
"1035",NA,2010,19
"1036",NA,2011,19
"1037",NA,2012,19
"1038",NA,2013,19
"1039",NA,2014,19
"1040",NA,2015,19
"1041",NA,2016,19
"1042",NA,2017,19
"1043",NA,2018,19
"1044",NA,2019,19
"1045",0.124894330580823,2020,19
"1046",0.190158230843452,2021,19
"1047",0.251803245222978,2022,19
"1048",0.301261164047672,2023,19
"1049",0.34479824070378,2024,19
"1050",0.364693358913249,2025,19
"1051",0.368852311544489,2026,19
"1052",0.442469900335145,2027,19
"1053",0.441040653776926,2028,19
"1054",0.428927686783245,2029,19
"1055",0.414463862364482,2030,19
"1056",0.397313177597524,2031,19
"1057",0.392735526994594,2032,19
"1058",0.404580882164051,2033,19
"1059",0.40680107352789,2034,19
"1060",0.431381599869024,2035,19
"1061",0.433788031448727,2036,19
"1062",0.45056057990348,2037,19
"1063",0.446142085084497,2038,19
"1064",0.427446283553091,2039,19
"1065",NA,1984,20
"1066",NA,1985,20
"1067",NA,1986,20
"1068",NA,1987,20
